review,polarity
i love dropboxbut i wish that the interface didnt look so cheap its the only thing thats letting down a potentially stunning app make it look as great as its functionality and ill happily give it five stars no qualms,1
no auto upload for photos what worked super on my s does not work on nexus p i have to open the app for photos to back up sad very sad,0
when you repeat over and over that you support animated gifs now maybe a good idea would be to actually support them,0
i love this app it is better than tv and old radio,1
its brilliant take a photo on my phone and within a minute its on my pc at home file same make a change on a file on my phone and its changed on the file at home this app makes the above so easy no issues crashes or problems just great,1
use to be a star app i gave this app star and told them i would give more stars after they fixed a particular problem i was having they fixed that problem so i upped it to stars i would give but im not happy with the changes they made where i now have to use hands to reach for the top of my screen for those functions they use to have on the bottom of the screen this is the only browser i found that does not have to reload every page when hitting the back button definite plus,0
mic on speaker is not working with oneplusx works okay but when put on speaker on one plus x mic stops working it works for skype and normal calls only for hangouts this issue is there,0
back to greatness previously couldnt compose a single message before the app crashed devs fixed issue very quickly well done,1
works fine for the most part not sure why it decides to sometimes notify me and sometimes not i guess it has something to do with inactivity on other logged in devices im usually logged in on computers and a phone,1
some issues i love this app but i have been having some issues lately it has started telling me that hangouts is no longer supported by google play you can not send a video and when on a video chat it seems to lag really bad wish we had something like imessage in our regular text and facetime,0
whats new broken differently again too bad google is such a small company it doesnt have the resources to create a good product the latest update has now made the camera go almost black and the speaker has stopped functioning i have to hold the phone up to my ear to hear the other person,0
causes android device to not register touch this app has been causing issues making it so we cant use the upper left menu of our devices multiple people have reported this and it is caused by your app please fix this and i will rate stars,0
still broadcast list didnt improved you should improve back up option you should give options with media without mediaonly chats,0
richard perez like itmoved it to sd card and couldnt get it backnow trying to re download for like three hoursout of high speed dataand cant connect to wifidont know why or if download going to be complete should have waited before i rated it four stars,0
video issues since i was forced into this update the videos play with a black box in the middle of them i edited a photo and its grayed out and stays at the top of my news feeds and my timeline it wont even let me delete it if i could give a zero star i would just like ever update something is always not working if its not broke why fix it,0
its okay but i wish theres a way to archive notes so my notebooks dont get cluttered up and how about viewing options like grid view so i can view my notes and notebooks in grid view please make these things possible im sure im not the only one who would like that,0
not happy updated every week they say erm get more levels added you can do it when not on mobile app and stop taking my boosters off me lost all my swaps lollies and colour bombs get it sorted,0
love it i love angry birds i can sit and play on for hours upon end love the challenges they threw at me,1
this has made my life hell it really sucks my cell hanged most of the time when it was there needs to improve so much đ đ đ,0
not good although most if the update is ok you can not inbox people for free anymore why should i hand over my bank details for a free trial complete rip off,0
fix or i quit dont download this game the new update sucks and is just a money grab for the developers the game wont load half the time and it kicks you off before you can even play not to mention the new rules are made to make you buy gems rather than raid for supplies i have used a lot of money over the years yes years to have you all of a sudden change the rules on farming and game play fix these issues or im done but from what i see in the other comments i dont think the developers even care,0
stop opening like a full app i used to be able to play music on youtube and answer messages now it stops the video each time i click on a chat head if i really wanted to close an app and go to another to answer a message i would use something else,0
ugly design no autoimport from old install iphone ui design in the android app come on one day it suddenly wouldnt start just showed globe and quit nothing similar has happened with alternative apps on top of that when i reinstalled it ignored the user folder so even though pics and supposedly chat is in there wechat did not read the folder so its all empty in chats inside wechat after a reinstall awful,0
fun but hard angry birds is really fun video game that people from at least year olds and people that are a lot a lot a lot of years older than that just one thing its really really hard but a challenge can teach children how to control their tempers even though it can ba a little frustrating,1
google chrome app it allows me to browse the internet on a phone of all things seriously guys were living in the future stars because it always works,1
edit gif support yay if this can be addressed this app will get stars having to manually resend messages is a bummer terrible while traveling with spotty net,0
after ur latest update i and my friend made a video call after ur latest update video of my friend z vry clr bt voice cnt b heard of my friend so plz plz resolve dis problem plz plz its a kind request,0
cant hook up credit card to wallet unable to connect american express credit card to wallet get the message system is busy please try again later also why cant we post just at text post to our moments,0
profile any time my wife or anybody has more than one post and i view them it would take me to there profile so that i can view them all at once now when i try to view them it tells me that the page that i requested is not available ive restarted my phone i even cleard the cache and ive uninstalled and reinstalled the app and it is still doing it please fix it thank you,0
please do something its too slow need update please add a feature to go directly in the start of every chat like whatsapp we have to scroll for hours to go to top and when finally we are there it just goes to the bottom danm it i would give stars if someone solve this one please i am expecting a response,0
takes longer time plz make d newspaper download formatit takes longer time to fetch newzvery poor app otherwisey same pages are repeated again again in epaper segment,0
chrome browser update barrister akash its a fine application i am not only like this application but also i am love thi application essay browsing perfectly working so i have given this application star akash,1
would like to see who are currently online performance of the latest app has deterioted where is the list of online friends one of the most important aspects of gtalk which never let me shift to other chats is the fact that i can know who all are online and i can chat with by chat i mean i can get replies and have a conversation please incorporate this feature at the earliest so that i can install this back,0
what the hell stole all my boosters all my boosters and power ups are gone return it now had more than of each what a cheap manner to manage the game return all power ups nowww,0
use this with dropsync dropbox autosync dropsync works the way dropbox should have it doesnt have any noticeable battery drain and automatically uploads files faster than dropbox alone,0
j khojyo thyehi paine ek matra apps,1
ŕŕžŕžŕľŕŕľ ŕ yo hamro keyboard chai computerma pani banauda ramro hunthyo tara i love it n thanks for this i support u all,1
newest version doesnt receive push notifications had to revert to original hangouts app until this is fixed,0
fastest browser its fast its reliable the only problem i have with it it dont like to download videos or games so both videos games it goes to the site just no downloads come up also the lil emojis that have action to them it dont show their lil action i would give a star rating but until then a star is all i hate that to cause this really is a fast browser maybe the fastest so please fix those bugs,1
problem i am on a samsung galaxy s and now it seems like i cant log in telling me that my pswrd does not work and when i try to reset it says that the number is banned really frustrating as i have been on for one day and i thought the app was amazing until now please tell me how to fix this problem this app is problematic and no one helps,0
doesnt send the message i have an active internet connection but the message cant be sent connection problem etc,0
did not work i looked for a movie and the app said it was no such thing as i looked up big mommas house,0
every time i press the send button a black background appears this doesnt happen before the update it sucks coz it forces whatever im doing to stop like watching videos,0
superb all in one,1
app stops mid call having an issue with viber at the moment on my android usually great app but stops working a random timesvery annoying have uninstalled and reinstalled times now may need to find another app,0
my texts arent delivering ive checked my internet connection its working just fine please fix it ill give a thank you,0
good app it help us to get fast news,1
this update sucks i cant open the game anymore just crashed damn it i have an on going war but the app wont run if there is a half star option to rate this i would give you that fix this asap,0
last seen and dp not showing the last seen and display pictures of my contacts and mine only shows when its privacy is set to everyone it doesnt show when its set to contacts this happened after last update kindly fix it,0
the new app looks great and is very easy to use however it is missing important features such as endorsing connections or writing recommendations furthermore i hate the fact that job search is now in a separate app why do i have to download apps,0
i think this game is such a load of rubbish it tries to con you into buying stuff from the instore app and cause you dont buy anything then you can be stuck on one part of the game for ages worsed app ive ever come across,0
cant log in since the latest update i am having trouble logging in i cant log in my account and it keeps on saying that my phone is not connected to the internet but when i try open my browser it can connect to the internet please fix this,0
awsome great type of social media nothing wrong with it it used to crash on my phone but since the update its doesnt even lag a bit pleaz get,0
cannot use properly ŕžŕŕžŕ ŕŕžŕšŕżŕ ŕžŕ ŕşŕŕľŕżŕľ ŕšŕľ let me edit the review after using this keyboard for a week i am sorry but this keyboard is almost unusable doesnt pick the right word very very user unfriendly interface pls make it usablemany thanks and hope it will get better so that i can reinstall it back again,0
slow update slow firefox just keeps on getting better with each update so far its the only one that supports flash wo force close that i have used on kitkat keep up the great work guys,0
a very useful web notebook bookmark bookmarks used to be the only way to record useful websites but evernote does so much more was using this years ago and am now revisiting old stuff and adding newwith a raft of new features,1
too many pop up ads the frequent appearing pop up ads dont allow to read the news smoothly these ads distract us,0
decent but getting worse with each update was my undisputed goto app for browsing for the past couple of years until about now getting buggier with each update crashes frequently especially when a lot of tabs are open simultaneously unresponsive for a few heavy websites still hoping the devs at google fix this because im still a huge chrome fan and gonna continue using it,0
booster should be internet independent why internet connection required to get daily spin it should be part of game itself every time i have open net connection to get daily spin unacceptable,0
one issuebig files downloading very slow i cant download mb files quickplease fix it on next update,0
best cloud provider love the flexibility feature set and streamlined setup use it daily,1
excellent as long as you have good service it works great use it to talk to my family in chile and asia it cuts out if you dont have wifi or excellent service,1
dami nepal iz improving there limts gud y,1
regular uc better on powerful devices this is very similar to the regular uc browser in function in some ways the layout is cleaner especially in the settings menu the major advantage here is in memory usage typically this will use about mb starting up the regular uc browser uses almost four times the memory however on my samsung galaxy edge the scroll speed is very laggy and stilted i love uc but im sticking with the full version where no such lag occurs its probably not fair to compare them on a high end phone however,1
great app but i heard that apple added some amazing emojis but ive been complaining about not seeing some emojis my iphone friend users send and it bothers me so can you just add those new emojis please thank you,1
very useful thank god i can finally reply faster with this thanks for the updates,1
two stars it used to work really well and the colors and nicknames and emojis are really cool and the snow and the hearts when sending some emojis are really cool but the last update really ss cant use any other app when using the chat heads youtube stops when using the chat heads the message sending is slow sometimes it doesnt even feel that im connected to the internet and sometimes cant even send the messages please fix it as soon as possible,0
cant see new emoticons i have a sony xperia z and i cannot see the new emoticons i have updated it twice sinxe the release and cant see them even my friend with his crapberry can see them but i cant i will give the app starts if you can fix it,0
malayalam font overlapping malayalam fonts are overlapping in facebook at speedmode also automatically turn on facebook notification if i turned off please fix it,0
so fun im totally addicted to this game i play it way too much because its so fun and has really smooth game play,1
doesnt refresh properly i added a few contacts but they dont show up on whatsappi hit the refresh button but no luck,0
shake function not working my we chat was update few weeks ago since that time im unable to use shake function when i use it its just status looking for people shaking their phone but no members pops up please fix this,0
cant use not being able to call any contact please try to fix then ill give all stars,0
unstable freezes and crashes customisatins and capabilities are unmatched but seems to freeze way too much atm some videos wont play that do on other browsers cant even arrange bookmarks looking at other browsers now,0
no respect for privacy linkedin takes advantage of how android manages permissions as well as using an persistent opt out mechanism to aggresively scan your phones contacts in order to constantly nag about inviting them whilst the app harvests your data the practices are unethical and makes one question how the company treats private data linkedin is an important tool to use today but with the way the company behaves it is better to uninstall the app and rely on the web version when its needed,0
well done nicely designed this app had collected daily used collection of apps liked it,1
great but lags waay too much i always end up wasting gems when i die because it was lagging please fix,0
very useful i havent used it as much as i could but even for what i do evernote is one of my favorite apps of all time they just keep making it better and better their widgets make the all even cooler,1
trust worthy as always have been a long time user of firefox in all my desktops and laptops now using it on my android phones as well not settling for any other second rate browser,1
its nice accecesible where mobile mobie data is or wifi if accesible so that if are are in in trouble of any soranyttime we can immediatetely tweet which reaches to near n dear ones other thousands of ther too on the web helpful in many ways,0
lost power ups switched phones and lost my power ups i had accumulated quite a lot how do i get them back,0
low quality i dont know why but sound is very bad especially when i talk i use meizu m mini and is not slow phone at all is there some update or setup whitch can fix it i will rate stars if theres a fix,0
fantastic and helpful i find this app so helpful i have the paid version wouldnt really want the free version as i love being able to take photos of business cards and turn them into contacts it also has the ability to find text within pdfs which is also extremely useful,1
simple fun game this is the type of game that can be easy and difficult at the same time each game is determined by how the candies drop so sometimes you can fly through a level and other times you can be stuck for days a good time filler when you have mins to spare,1
ugh i dont recommend this because when i tried getting into the game it says that its downloading but it really isnt and then it doesnt work and i cant play it i was so excited to play the game but it just doesnt work for me,0
you should fix this it doesnt work anymore i dont know what to do because everytime i open this app it automatically closes and a pop up message says unfortunately facebook has stopped,0
all you need easy and gives you control openness and ease of use are clearly the main goals the software itself is great and the various plugins available allow for even more control and customization if you want it great job,0
not supported i am using panasonic t and frozen shadows are not supported i will be very great full if you will fix this,0
lovely a lovely game for all i love this game so much and my mom too my mom also enjoy this game so much thank you rovio team to make this kind of game,1
night mode this app is really good actually but why the night mode doesnt work what ashame đľ,0
great best cross platform cloud storage and has some awesome functionality its without a doubt the best cloud storage out there,1
google messenger unite with hangouts dialer big problemi have updated to android ever since update contacts in mobile contacts do not since merge or anything it acts as a regular text messenger please fix i need my google voice hangouts dialer fail to work or merge at all,0
was great i was going to give this stars until the latest update causes it to constantly crash and force close please fix it i love playing this game,0
new theme its a fun gameits great to see some new items added to the game the frozen shadows makes the new challenges a lot more fun,1
major flaws constant updates and always getting not installed messages i can use it for awhile and then its no longer installed none of my other apps do this,0
nice for the size its great nice ui small footprint complain u belong in scroogles camp,0
ŕŕľŕŕľ ŕŕžŕžŕľŕŕľ ŕŕş ŕŕžŕľŕşŕľŕŕľŕł ŕŕľŕşŕžŕŕľ ŕšŕŕľ ŕžŕžŕ ŕžŕ ŕžŕľŕŕľ ŕźŕŕľŕ ŕźŕŕľŕ ŕŕťŕ ŕżŕľ ŕŕş ŕ ŕŕż ŕŕŕľŕŕž ŕ ŕŕŕżŕŕľ ŕŕş ŕ ŕžŕŕžŕ ŕ ŕž ŕŕŕľŕŕž ŕŕžŕŕľ ŕŕľŕşŕžŕŕľ ŕŕžŕ ŕžŕ ŕşŕŕľŕŕľ ŕ ŕŕŕżŕŕľ ŕŕľŕşŕžŕŕľ ŕž ŕŕľŕŕľŕ ŕžŕżŕŕľŕŕľ ŕŕş ŕšŕžŕžŕľŕŕľ ŕŕżŕľŕľŕŕľŕą i love hamro keybord,1
love it you are able to see celebrity tweets and get info you didnt know i love it,1
ads way to many ads cant even enjoy the game with the amount of ads i have to watch every other level theres an ad thats just ridiculous,0
big problem new update showing all contact and there is no setting for this prob do sum thing fastly,0
very nice app best feature is all friends get in touch with it runs well during roaming and with low signal i hope to see some improvement as in group chatting if we have tag feature or topic hashtag feature within the group so that we can refer to a particular topic in discussion just like in twitter etc but within the group not public would be great,1
of our favorite games it is a delight playing this modern classic that is constantly renewing our interest,1
personal break dont mind the break necessarily but i dont think its necessary especially during gem boost time would like to not be told when i cant play lol,0
i dont like the new shield system your base is percent destroyed but the attacker didnt deploy one third of his troops so you would not get any shield it does not make any sense to me i personally dont think shield should be depend on no of troops used,0
it was okay but now complete crap why do one now have to change between profiles to see sms or hangouts before this app but much better where you could always easy select if you wanted to send an sms or hangout now this app is completely useless,0
the best android browser fast well designed easy tab management i was looking for a browser easier to use than google chrome and its done great,1
every time i play the moon struck game it doesnt give me all the moves takes my game and makes me lose please fix this and i will give stars,0
wonderful apps i have downloaded this apps in my cellphone its very good apps for those who loves nepali language great apps,1
always entertaining we all know angry birds by now definitely an enjoyable and entertaining game to help you kill time the only thing that i dont like about it are the advertisements when im playing with my wifi of data turned on they can be a bit disruptive during game play,1
old is gold i used to play this game a lot when iwas nearly in std but even after years when im in the this game still continues to be my fav i really never get tired of playing this as u know now that this is my fav,1
error i cant log in its says error occured while logging in please try again later i tried it several times restarted my wifi and phone still cant log in please fix it,0
good appi like dis app very useful i loved it đđđđđdis app is awesome and very usefuldis app never makes me disappointed and very simple to useđđđ,1
not able send requests to connect not able to send requests to connect even i uninstalled this app older version was much much better,0
good app its a good app for people especially student like mebut i just think that it would be better if it become more colourfulmaybe not too colourful but more colourit will be more attractive to student like me to use itthanks for the app btw,1
good but not the better i cant see the videos sometimes the notifications are bad and always the app isnt responding this actually is the worst update please check it,0
text notifications do not work i loved hangouts however since a few months ago im not able to receive text messages notifications it is really annoying i receive voice calls and invites notifications ive looked everywhere for the solution and wasnt able to solve my problem im giving up im so frustrated,0
not since the update i dont update it is very slow on both data uk ee network and wifi all of home via bt work networklondon underground virgin network on all devices version number is on each device practically unusable at present and everything was fine before upgrading reading other comments im far from the only one having problems high and low quality images helps but it is still worse than before the upgrade and just discovered that previously a double tap enlarged the text sufficiently to make it readable now it enlarges it a tiny amount but pinch and zoom is still required why did you do this the good old adage if it aint broke dont fix it absolutely comes to mind,0
life saver i had to get my content from my iphone to samsung and couldnt find out how to do it dropbox helped me to move it so i could sell my iphone right away i still have everything thanks to dropbox,1
buggy reinstall several times issues editing uploaded photo from news feed post only editable via image caption then image is greyed out on news feed like its pending photo upload wont go away also cant upload photo from phone gallery share to albums have to open fb upload photo select from gallery to add to album,0
so far nice and useful but please introduce option for choosing who and in which group someone can add you hate when people put you in group with bunch of strangers sharing some irelative stuff without my approval or knowledge otherwise app rocking,1
linda cooper hardy it is essential at times to communicate one person to another not open to all to read or know i like that aspect of the messenger field sometimes on facebook i wish i could have a one to another conversation about whatever i find it necessary to discuss more personal subjects that may start on facebook then end up on messenger like a phone with no party lines i would enjoy a privacy option for now we have messenger,0
makes top left of my screen unresponsive many lg v users lose the ability to tap the top left of their screen when this app is installed this issue makes uses other apps impractical and sometimes impossible as this issue holds phones hostage if fixed ill change my review to stars,0
sony xperia z very good as always but since last update i cant seem to be able to change the ringtone reverts back to default,0
seriously needs usability updates app is ok but storage jumps from free to mo after downloading files dropbox asks to upload it great but it asks for the folder every time from the root directory still there is no intermediate plan for storage it goes from free to mo for tb i dont need tb but i do need something more than the free plan google drive will be my new storage since they offer an intermediate plan i asked for something middle of the road but they arent interested im going to drop dropbox where it belongs in the trash box,0
hamro keyboar needs update n new emojis thnkz fo awsome apps plz update keyboard,1
works great i wish it supported expandable collapsible hierarchies though,1
samsung galaxy s smgf always come back to chrome it just works on so many sites i use better than the other browsers but it does need this improved data savings update quick and the malware blocking which may already be included now im not sure more importantly it needs a ad blocker but obviously this is going to effect googles business model a chromium download please,0
privacy its nice how it works with the agenda of your smartphone but i think they might do something for contacts that didnt have the app and you want them block if they download the app the same way they give you the option for send invitations they should have the option for block them,0
nice app i suggest you to add a wordcount feature and font size i think its essential feature for a note app but well keep the good things up youve done a really amazing job thanks đâąâąâąâąâą,1
great app i really liked this app and its very useful as well little upgrade should be made for theme and if possiblethen for swift as well best of luck guys and keep it up,1
great app love it does what it says of course its going to be slow if the connection isnt fast enough it works well for me and my family who are overseas,1
cant connect right now when trying to open links in the facebook browser i receive a cant connect right now error message other items on my news feed continue to load,0
this is it so this is gonna be the list of things you need to improve for constant five stars include more emojis the ones you provided dont even express enough feelings of a dog provide instructions somewhere because people have uninstalled this app because they were more confused than they were thankful to you guys when i capitalize english letterd only one letter is capitalized and it goes back to lowercase fix this you guys are awesome i love this app no more bugs keep up the great work,1
evernoteforever evernote helps this busy mom with shopping lists spur of the moment ideas that i want to remember later a file for different parts of our family lifefinances pictures of school fliers and more xoxo,1
issues setting up works fine now had issues with registering verification email initially eventually did it via the browser than the app the app works fine now once set up do like it,0
videos and notifications my videos havent been working for a long time on this app whenever i try to watch a video someone else has posted its black and white and all glitchy i sometimes have no way of fixing it next i havent been getting notifications in the app i get them on my status bar but when i go on the app i dont get a little number by the bell,0
big issues there is no download manager in chrome when i select save target as i dont have any control over the download i cant pause or cancel it after that and most of the times i am unable to download the file i cant use two chrome tabs in multi window on note i can do that in note but it just doesnt work in note plz fix,0
if chat at wechat no simbol or bluetick seen so we dont know if weve been reading text or not so i hope this apps can do diffrent thing right now,0
best nepali typing apps you can type any nepali text in eng and it will show suggestion of nepali words you can copy it in sd card and transfer to your pc alsoand many moreyou will only know after installing it,1
worst app ever seen one of the worst app i have ever seen it takes more then minutes to open my htc m frequently gets lag while running this app app developer just look times of india app try to improve your kmg app for now i suggest everyone dont,0
connection issues everytime i try and click on a link or profile i keep getting can not refresh it does this whether its on wifi lte g so im finding myself having to continuously close app from multitasking and re load it periodically,0
pretty good if i do say so myself oh wait i did its a very fun game to play,1
cant work after latest update i keep getting the message that the app has stopped working after last update phone screen freezes and cant use the phone until i reported the problem sent feedback please fix or i will uninstall on samsung galaxy note first model,0
it used up my battery i forgot to switch back to my home screen and keep opening dropbox app then my battery dropped from to in mins it really is a dropbox,0
know how to get the account back you have to delete clash of clansthen you download it again then you look on the upper left corner of the screen then you see already have a village then you press itthen you will have your village,1
better than groupme đ,1
update few things uc mini is very speed for dwnldng and other things and plz provide an option for online videos dwnldng and youtube dwnldng i hope iam expecting this feature from you as soon as,1
ever so useful evernote it is so easy to scribble something down when you have your smart phone tablet laptop or whatever you can be spontaneous yet accurate because you write when you are at the place and at the time when you return to your main computer your writing is there waiting for you almost magical such a time saver and a memory keeper,1
need more modifications undoubtly hamro keyboard is one of the phenomenol and must have keyboard app for all nepalese who want to type directly in nepali however this keyboards interface or keyboard theme must be improved wating for new version with improved look theme or interface of keyboard and finally in my tablet enter key is not working please fix this waiting for your response,1
rubbish the amount of memory it gives for free is rubbish its very little compared to one drive they also need to fix the drop box when you upload or dowload large files it doesnt do it straight away generally expensive to get more memory need to give more free memory without crazy price tiers never will i use drop box again people out there check other clouds eg one drive gmail drive just other drives very dissapointed with dropbox,0
i loved it i used so many times so its more attractive mebt every things r good if improve some more typeing system to essy type here is i got for typeing problemso,1
really love the new game but since this update the game keeps shutting down on my s please fix the glitch,1
all nepali must use,1
i found this app very fruitful and m using it but can you please tell me how to write ŕŕŕž ŕ ŕŕľŕˇŕ,1
bolt i purchased bolt earlier in old phone now i changed my phone unable to purchase him again clicked on bolt purchase but nothing pop upchurch for bruce lee when i clicked on purchase its ok please fixed ltltlt this has been fixed emailed me the instructions within day basically go to currency at the bottom press restore purchase it not easy to find,0
image search on verizon ellipsis tablet doesnt function properly when an image search is conducted images appear in gray scale or bw with a checkered background,0
doesnt work wont allow you to log in,0
its getting there i used to be a chromeopera aficionado but lately they eat too much ram that my phone starts to hang firefox memory consumption is far less and its more stable however i dislike how websites get blurred when scrolling then slowly clear up like a jpeg being downloaded on a slow connection i use g and bandwidth aint a problem i know you can fix it but ill give you stars for now thanks for the awesome browser,0
so much room for improvement the twitter app has been around for several years and yet it still hasnt lived up to its full potential heres an example how dont we have the capability to save gifs and videos not only that but itd be cool if we can customize and have different layouts and appearances simple updates like those would make this app so much better not lame ones like changing favorites to likes hopefully these ideas can be considered for,0
groups edit i changed my rating from one to three stars due to linkedins response to my review glad groups is still in the app but i dont iike that it is not as straightforward to access them as before,1
awesome app it is good and very useful app it is very fast in dowload and easy to use anyone can handle it,1
slick chat app reactions are my favorite part of using slack i love adding my own,1
contacts sync wont work contacts dont sync anymore app crashes ive tried uninstalling clearing data and cache updating but the issue persist shouldnt had released this version with so many bugs,0
smh linkedin will not allow me to send connection request through android but on the other hand i am able to send connection request via ipad helloplease fix the new set up is fancy but horrible,0
like the new update the latest update fixed all of issues that i previously mentioned no real problem even while using project fi,1
good app but why do post come up in a random order on the home screen i have day old posts at the top and have to scroll down to find new posts which are buried between day to week old posts it needs to have an option for what order you want the posts in,0
rewelacja bardzo uĺźyteczne narzädzie do komunikacji w zespole,0
dont like the new look looks like a cheap dating site now professional vibe is gone poor facebook knockoff is here to stay its not just the aesthetics but the design as well simple things like viewing my connections or viewers require more time more taps and more effort than before others connections are listed seemingly randomly making it arduous to find anyone its worse on iphone where speed is at a snails pace linkedin has lost its identity and if it continues in this direction it will lose its userbase too,0
what has happened it doesnt give me my messages on time and people can not hear me on outcalls at all please fix other wise i would give it stars,0
not the same with my hand on my heart i can honestly say that the first angry birds was great the latter is a horrible mess of horrible games cashing in on the original success unfortunately this hame has suffered the same fate it is no longer the brilliant game it once was its an updated version with none of the original stuff that once made it great,1
excellent awesome app very useful thanks forum yes in connection with the previous suggestion if you can update along with planner it would much better,1
dami xa hajur harule ni hernu hai,1
very useful thank you android for introducing me to drop box extremely useful whether on android computer or both now i can sync my personal files and doucments on all my devices and i can still securely access them online from any browser not to forget to mention about the sharing options great app,1
between android or windowsmy tablet or my phone i love instant access fantastic simple to use app,1
facebook ripoff used to see my connections new connections in news feed now all i see is silly opinion posts no longer a networking site at all,0
its suck any time when i want to see something error will come could not open check your internet satting else i am using all other applications and other things on net hance i am using g network realy very suck,0
useful and well designed however glitchy the app is really well designed however ive begun to notice that if you end a call while it was on mute or if the call loses reception because of wifi issues on either persons end the app does not record how long the conversation lasted in fact it doesnt show that a call even took place,0
i enjoy twitter but im extremely annoyed that i cant swipe left or right through an accounts twitter pictures as easily as before now just tapping the picture takes me to the whole tweet i have to be super cautious to not accidently tap the picture while im swiping its incredibly annoying please go back to how it was before if i were to want see the whole tweet just touch the caption,0
video issues sometimes videos uploaded from places like vine wont load and will play but the screen will show grey fix please i dont know if others have this issue but i am on my samsung s and it is doing this,0
cant open after update the app crashes and doesnt open neither for a second uninstalled and installed many times no change please let me know how to fix it people write me there and i dont receive nothing,0
how to unlock frozen in this update have no daily challange so i cant compleat my mission and how to unlock frozen and new outfits for players it is very hard to find mystery box in this update so guys please fix these problems,0
causes a lot of battery drainage so i love firefox both on pc and android but ive noticed recently that firefox has been draining a lot of my battery before this was never an issue firefox always ran smoothly but now certain webpages with glitch out jump back up to the top of the page on random or just not load completely ive checked my wifi and data so that isnt the issue it seems like the app is working harder than it needs to and it always makes my phone very hot,0
jill you have lost all my photosi push drop boxand you tell me to set up a new dropboxall is gonereturn my photoswill look again tomorrowbad service people,0
again and again what happened to you guys you are not listening us again there is problem in downloading large files and the download speed is furthermore decreased even the phone is connected with wifi pls fix this stars for browsing speed only,0
perfect very close to using the desktop client,1
